Fecha Hora,Disk Read,Disk Write,Disk Transfer,Processor Time,User Time,idle Time,NETWORKIN,NETWORKPOUT,NETWORKTOTAL,Memory Intalled,MemoryUsed,
2016/08/16 12:47:52,0,5.99564223973379,4.05734596206138,18.7556789780394,16.0038731571027,88.3057292435363,0,0,0,12288,3789,
2016/08/16 12:48:09,1.00215506732252,4.05548980031519,28.3157033225272,30.0788611640717,64.9158509027902,69.9874187519346,0,0,0,12288,4434,
2016/08/16 12:48:29,179.623665930702,51.9304930539369,185.220851429326,84.7774746469772,42.5453855803345,70.2816406054853,0,0,0,12288,5012,
2016/08/16 12:48:49,3490.75212502094,7.99140295496842,16.9947154630658,14.9122201364562,11.3170257343495,78.7268475562893,0,0,0,12288,5122,
2016/08/16 12:49:07,1.0007281112968,8.00029803823177,19.0017263573442,11.8037359200674,24.1966391111802,78.5073750741876,0,0,0,12288,5084,
2016/08/16 12:49:23,0,17.9981937719341,8.99775623278173,10.1935645739195,1.56139359649752,85.9780002843033,0,0,0,12288,5065,
2016/08/16 12:49:40,0,30.9996818288947,3.00010149991789,5.53772635221761,4.68597003078495,87.3532922090785,0,0,0,12288,5007,
2016/08/16 12:49:56,0,14.9925340328419,7.99994830175052,20.3215196039808,7.02441945452242,83.0953370035828,0,0,0,12288,5009,
2016/08/16 12:50:13,0,1.00061543962282,1.99878885825577,7.46675862206829,2.34353345750853,92.0009344366587,0,0,0,12288,4992,
2016/08/16 12:50:29,0,1.99926204702531,0,16.8136753189531,3.51313586163224,69.4409218917088,0,0,0,12288,4998,
2016/08/16 12:50:46,0,0,1.99794936682903,11.6555598330348,5.07778842041615,75.7775659661885,0,0,0,12288,4998,
2016/08/16 12:51:02,0,1.99995970632755,6.00176587414002,14.8665657603762,9.75678449917305,70.8076530334284,0,0,0,12288,4997,
2016/08/16 12:51:19,0,0,0,18.0058359603951,15.2202054226899,84.5833735653175,0,0,0,12288,5002,
2016/08/16 12:51:35,0,1.99875089133856,2.99942420351954,16.832409194792,5.46391061436885,78.0678093828196,0,0,0,12288,4992,
2016/08/16 12:51:52,0,2.99879848933403,4.99772401799356,4.71629473573086,10.5462087527112,84.2271473139992,0,0,0,12288,4990,
2016/08/16 12:52:08,0,0.999676608332029,1.00060630519365,19.1786968337913,4.29675238645412,81.9116689608616,0,0,0,12288,4981,
2016/08/16 12:52:25,0,0,6.0005793841876,3.59013554325217,1.95262602722237,90.8409734324583,0,0,0,12288,4985,
2016/08/16 12:52:42,0,0,4.99930064640796,6.32275911299693,2.73229225548758,82.3020240460782,0,0,0,12288,4986,
2016/08/16 12:52:58,0,1.99879569245404,0,5.49537195372064,4.29609412540095,86.1851068010733,0,0,0,12288,4984,
2016/08/16 12:53:14,0,0,4.99861288617344,7.83481319172629,3.51261231476039,89.5914800941127,0,0,0,12288,4996,
2016/08/16 12:53:31,0,0,5.99893276616899,7.09030340315695,3.12340893548826,90.1752073539833,0,0,0,12288,4996,
2016/08/16 12:53:47,0,0,21.9972572759535,3.91410021801218,3.51399442617845,90.3276190270674,0,0,0,12288,4994,
2016/08/16 12:54:04,0,1.00007679349886,0.999394808804411,8.23804542371628,2.73334772794975,88.5724889210382,0,0,0,12288,4998,
2016/08/16 12:54:20,0,15.0007127900771,0.999808447830729,6.25039374834626,8.58890757390983,89.6838976332918,0,0,0,12288,4991,
2016/08/16 12:54:37,0,1.99878126475694,4.99887694852282,8.22028280711507,2.73180254429945,89.6991549604489,0,0,0,12288,4990,
2016/08/16 12:54:53,0,2.99906401555946,3.99717681845826,6.72522022525569,12.1004607503809,79.9947286029839,0,0,0,12288,4995,
2016/08/16 12:55:10,0,1.00019961157489,1.00063979891599,6.65755232000915,1.95309582082314,88.9076954944651,0,0,0,12288,4995,
2016/08/16 12:55:26,0,1.99930231259056,3.9994815608212,5.15556048486411,3.90465143570222,90.3957954175159,0,0,0,12288,4997,
2016/08/16 12:55:42,0,1.99961005584639,0.99965571477375,5.55336474052897,1.17123636112863,90.5509014312657,0,0,0,12288,4998,
2016/08/16 12:55:59,0,2.00092339790653,3.00039691516319,4.45777311008262,4.29269749803191,90.1051779627849,0,0,0,12288,4991,

